,francise_name,address,TEL
65,강남구청역점,"서울특별시 강남구 학동로 342, 1층 106호(논현동 , 에스케이허브블루)",02-515-0656
66,강남구청점,"서울 강남구 학동로68길 7 (삼성동, 삼성동힐스테이트), 상가동 지상 1층 102호",02-512-0656
67,강남로데오점,"서울특별시 강남구 강남대로78길 12 , (역삼동, 예미프레스티지)",02-557-1341
68,강남면허시험장점,"서울 강남구 테헤란로114길 16 (대치동, 동남빌딩)",02-552-5679
69,강남못골도서관점,"서울 강남구 자곡로 114 (자곡동, 서강플라자)",02-445-1007
70,강남세곡점,"서울특별시 강남구 헌릉로569길 13, 지상1층 110호(세곡동 , 라온프라이빗시티)",02-2226-1116
71,강남솔라티움시티점,"서울 서초구 강남대로53길 12 (서초동, 솔라티움시티 강남)",02-588-8120
72,강남애비뉴점,"서울 서초구 서초대로77길 59 (서초동, 강남역 2차 I'PARK)",02-535-1008
73,강남역삼점,"서울 강남구 역삼로 156 (역삼동, 태광빌딩)",02-566-1003
74,강남역점,"서울특별시 강남구 테헤란로 101 , (역삼동, 이즈타워)지하상가 E-35",02-567-5424
75,강남자곡점,"서울 강남구 자곡로 202 (자곡동, 강남힐스테이트에코), 지상1층 101호",02-3411-1003
76,강남중앙점,"서울특별시 서초구 서초대로77길 35, 1층 102호(서초동)",02-533-0656
77,강남포이점,"서울특별시 강남구 개포로 221, 1층(개포동)",02-572-0777
78,강남해링턴타워점,서울 강남구 강남대로84길 15 (역삼동),02-6953-0657
79,강동U1센터점,"서울 강동구 고덕비즈밸리로 26 (고덕동, 강동U1센터)",02-6072-0789
80,강동구청점,"서울특별시 강동구 성내로 11, 105호(성내동)",02-477-0365
81,강동보훈사거리점,"서울 강동구 진황도로 190 (둔촌동), 1층 105호",02-477-5298
82,강동성내점,"서울 강동구 천호대로 1078 (성내동, 씨제이나인파크), 1층 105호",02-980-1007
83,강동역점,"서울특별시 강동구 천호대로 1107, 1층 101-1호(길동 , 강동역에스케이허브)",02-477-1803
84,강동헤리티지점,"서울 강동구 천중로 264 (길동, 강동 헤리티지 자이)",02-6958-6875
85,강북번동점,"서울특별시 강북구 한천로109가길 4, 1층 코너(번동 , 광덕빌딩)",02-980-9889
86,강북북부시장점,"서울특별시 강북구 한천로 981 , (번동)",02-906-9616
87,강북시장점,"서울특별시 강북구 한천로 1059-1 , 1층(수유동)",02-908-2325
88,강북우이시장점,"서울 강북구 한천로 1130 (수유동), 1층 일부",02-906-6566
89,강서가양점,"서울 강서구 강서로 511 (가양동, 한림타운)",02-3662-8087
90,강서구청점,"서울특별시 강서구 화곡로 326 , 1-2층 (화곡동)",02-2602-7834
91,강서등촌점,"서울특별시 강서구 공항대로61길 22, 1층(염창동)",02-2659-0002
92,강서세무서점,"서울특별시 강서구 공항대로 103, 판매시설2동 1층 104호(마곡동 , 마곡 엠밸리 9단지)",02-2661-1042
93,강서우림블루나인점,"서울특별시 강서구 양천로 583, 층123호(염창동 ,우림블루나인비즈니스센터)",02-2093-2121
94,강서한강자이타워점,"서울특별시 강서구 양천로 401 , (가양동, 강서한강자이타워)",02-2638-5475
95,강일2지구점,"서울특별시 강동구 아리수로93나길 38, 1층(강일동)",02-429-0414
96,강일리버파크점,"서울특별시 강동구 아리수로93길 9, 102호(강일동 , 골드프라자)",02-481-1008
97,개롱근린공원점,"서울 송파구 오금로44길 47 (가락동, 동궁리치웰아파트)",02-407-1119
98,개롱역점,"서울 송파구 오금로 407 (오금동, 상아아파트)",02-443-9855
99,개봉남부역점,"서울특별시 구로구 남부순환로97길 20-6, 1층(개봉동)",02-2617-1114
100,개봉북부역점,"서울특별시 구로구 경인로40길 25 , 1층 9호(개봉동 , 청실아파트)",02-2612-1230
101,개봉사거리점,"서울특별시 구로구 경인로 324 , 1층 (개봉동 , 성원빌딩)",02-2060-4158
102,개봉점,"서울특별시 구로구 개봉로 70 , 1층(개봉동)",02-2682-4158
103,개봉중앙점,"서울특별시 구로구 개봉로 25, 1층 101호(개봉동)",02-2684-4944
104,개봉푸르지오점,"서울특별시 구로구 고척로 126, 1층(개봉동)",02-2060-7267
105,개포동역점,"서울특별시 강남구 개포로82길 13-9 , 101~102호 (개포동 , 세종빌딩)",02-2226-0085
106,개포아이파크점,"서울 강남구 선릉로 28 (개포동, 일영빌딩)",02-494-1001
107,개화산역점,"서울 강서구 양천로 28 (방화동, 벽산에어트리움)",02-2666-1110
108,거여역점,"서울특별시 송파구 오금로 504 , 1층 (거여동 , 하나메디칼크리닉)",02-402-2002
109,거여현대점,서울 송파구 거마로 28 (거여동),02-400-7097
110,건대동문회관점,서울 광진구 아차산로 290 (자양동),02-457-1117
111,건대스타시티몰점,"서울 광진구 아차산로 272 (자양동, 더샵스타시티)",02-6941-1108
112,건대스타점,"서울 광진구 능동로 121 (화양동), 1층",02-465-0656
113,건대입구역점,"서울특별시 광진구 아차산로 224, 1층(자양동)",02-466-3021
114,건대학생회관점,"서울특별시 광진구 화양동 393-1 , 1층",-
115,건대화양제일시장점,서울 광진구 능동로13길 40 (화양동),02-466-2089
116,경복궁역점,"서울특별시 종로구 자하문로 11-1, 1층(체부동)",02-722-6679
117,경희대점,"서울특별시 동대문구 경희대로 18 , 1층 (회기동)",02-959-4282
118,고대점,서울특별시 성북구 고려대로27길 15,02-924-7290
119,고대정문점,"서울특별시 동대문구 안암로 158-1, 1층13",02-921-5662
120,고덕그라시움점,"서울특별시 강동구 고덕로79길 29, 1층 107, 108호(고덕동, 고덕그라시움(제2상가))",02-2242-5555
121,고덕래미안점,"서울특별시 강동구 아리수로50길 50, 1층(고덕동)",02-427-8587
122,고덕베네루체점,"서울 강동구 구천면로 636 (상일동, 고덕 롯데캐슬 베네루체(상가B동))",02-427-1007
123,고덕아주점,서울 강동구 고덕비즈밸리로6길 10 (고덕동),02-6414-0110
124,고덕역점,"서울특별시 강동구 동남로75길 13-15 , 1층(명일동)",02-427-0177
125,고척중앙점,"서울 구로구 경인로 403 (고척동, 원메디타운)",02-2688-7778
126,곰달래사거리점,"서울 양천구 월정로 127 (신월동), 1층",02-2699-1916
127,공덕sk리더스뷰점,"서울특별시 마포구 백범로31길 8 , 1동 B105호 (공덕동 , 공덕SK리더스뷰)",02-717-2019
128,공덕오거리점,서울 마포구 새창로 10 (도화동),02-711-2019
129,공릉도깨비시장점,"서울 노원구 동일로 1026 (공릉동), 1층",02-971-6469
130,공릉신도브래뉴점,"서울 노원구 동일로191가길 6 (공릉동, 건양오피스텔), 1층 102호, 103호",02-976-0001
131,공릉역점,"서울특별시 노원구 동일로192길 , 1층(공릉동)",02-971-7703
132,공릉중앙점,"서울특별시 노원구 공릉로 137, (공릉동)",02-976-9995
133,공항시장역점,서울 강서구 방화동로 49-1 (방화동),02-2661-4568
134,관악구청점,"서울특별시 관악구 관악로 164, 제1층 제111호(봉천동 , 대우디오슈페리움1단지)",02-875-0888
135,관악남현점,서울 관악구 남부순환로 2060 (남현동),02-588-5553
136,관악인헌시장점,"서울 관악구 봉천로 615 (봉천동), 1층 1호",02-877-0111
137,광산사거리점,"서울 강북구 노해로 87 (수유동, 광산빌딩)",02-6338-7748
138,광운대역점,"서울특별시 노원구 석계로 103 , 1층 (월계동 , 동우빌딩)",02-942-9917
139,광운대점,서울 노원구 광운로 35 (월계동),02-942-1005
140,광장시장남2문점,"서울특별시 종로구 청계천로 203-1, 1층 (예지동)",02-2275-9996
141,광장점,"서울특별시 광진구 아차산로 537-17, 광장힐스테이트상가 1층 10호",02-454-1210
142,광진군자로점,서울 광진구 군자로 86 (군자동),02-499-3002
143,광진자양뚝섬로점,"서울 광진구 뚝섬로52길 7 (자양동, 그랜드 아파트)",02-455-2089
144,광화문역점,"서울특별시 종로구 새문안로5길 11-1 , (당주동)",02-739-6700
145,광흥창역점,"서울특별시 마포구 독막로 145, 근린생활시설(2단지)동 1층 101호(창전동, 서강쌍용예가)",02-336-4844
146,광희동사거리점,서울 중구 마른내로 167 (광희동1가),02-6956-4988
147,교대법원점,"서울 서초구 서초중앙로26길 10 (서초동, 청향빌딩)",02-533-8677
148,교대역점,"서울특별시 서초구 서초중앙로 107, 1층 102호(서초동 , 삼화빌딩)",02-597-3365
149,교보타워사거리점,"서울 서초구 강남대로79길 10 (반포동, 운학빌딩)",02-549-0656
150,구로NC점,"서울 구로구 새말로 22 (구로동), 1층",02-855-0656
151,구로거리공원점,"서울 구로구 구로중앙로28길 73 (구로동, 구로하우비)",02-857-5777
152,구로고대병원점,서울 구로구 구로동로25길 3 (구로동),02-839-7077
153,구로고척시장점,"서울특별시 구로구 경인로47길 107, 1층(고척동)",02-2611-6238
154,구로고척점,"서울특별시 구로구 고척로 239, 1층(고척동)",02-2060-6222
155,구로구청점,"서울특별시 구로구 가마산로 268 , 104호 (구로동 , 대림역와이즈플레이스)",02-868-3990
156,구로궁동점,"서울특별시 구로구 부일로15길 29, 1층(궁동)",02-6338-2889
157,구로깔깔거리점,"서울특별시 구로구 구로동 1125-9, 1층",02-859-5599
158,구로대륭포스트2차점,"서울 구로구 디지털로 306 (구로동, 대륭포스트타워2차)",02-855-1226
159,구로대륭포스트8차점,서울 구로구 디지털로26길 43 (구로동),02-3415-0898
160,구로디지털단지점,"서울특별시 구로구 디지털로31길 41 , (구로동, 이앤씨벤처드림타워6차)110호 (구로동, 이앤씨드림타워6차)",010-7440-9797
161,구로디지털탑프라자점,"서울특별시 구로구 디지털로26길 98, 층 104호 , 105호(구로동)",02-830-1245
162,구로매봉초점,"서울특별시 구로구 고척로21나길 14 , 1층 (개봉동)",02-6465-2575
163,구로이화교차로점,서울 구로구 도림로 89 (구로동),02-859-9992
164,구로전화국점,"서울 금천구 남부순환로 1384 (독산동, 영남빌딩)",02-867-1003
165,구로주공점,"서울 구로구 구일로4길 33 (구로동, 종합상가)",02-6954-7885
166,구로중앙유통단지점,"서울 구로구 경인로53길 15 (구로동, 중앙유통단지)",02-2619-5338
167,구로항동점,"서울특별시 구로구 서해안로 2124 , (항동)",02-2686-9998
168,구산사거리점,"서울특별시 은평구 서오릉로 201 , 1층(구산동)",02-356-7966
169,구산역점,"서울특별시 은평구 연서로 137 , 1층 (구산동)",02-383-2757
170,구수동사거리점,서울 마포구 창전로 35 (창전동),02-333-1113
171,구의역점,"서울특별시 광진구 아차산로55길 11, 1층 102호(구의동 , 테라펠리스 건대 3차)",02-444-5550
172,구의중앙점,"서울 광진구 자양로 170 (구의동), 1층",02-452-0131
173,구일역점,"서울특별시 구로구 구일로10길 27, B동 1층",02-855-5111
174,구파발역점,"서울특별시 은평구 진관2로 29-21, 1층 106호(진관동 , 드림스퀘어)",02-356-7096
175,국악고점,서울 강남구 논현로12길 33 (개포동),02-572-5559
176,군자동주민센터점,서울 광진구 면목로 7-1 (군자동),02-462-1116
177,군자역점,"서울특별시 광진구 능동로 294, 1층(능동)",02-6052-7071
178,굽은다리역점,"서울특별시 강동구 양재대로 1566, 1층(명일동)",02-441-5919
179,금천가산점,"서울특별시 금천구 가산로 115 , 1층 (가산동)",02-851-1999
180,금천구립시흥도서관점,서울 금천구 금하로 750 (시흥동),02-805-1295
181,금천독산4동점,"서울특별시 금천구 독산로 243, 1층(독산동)",02-861-7725
182,금천독산점,"서울특별시 금천구 시흥대로 474, 1층 (독산동)",02-856-7077
183,금천롯데캐슬점,"서울특별시 금천구 벚꽃로 40 , 113동 107호 (독산동 , 금천롯데캐슬골드파크1차)",02-808-1819
184,금천박미삼거리점,"서울 금천구 시흥대로 149 (시흥동, 신라상가)",02-807-7724
185,금천시흥유통상가점,서울 금천구 시흥대로 98 (시흥동),02-2138-0902
186,금천현대시장점,서울 금천구 독산로 131 (시흥동),02-804-0777
187,금천홈플러스사거리점,서울 금천구 시흥대로 409 (독산동),02-838-1007
188,금호사거리점,"서울특별시 성동구 독서당로 329, 1층(금호동3가)",02-2233-7717
189,금호역점,"서울특별시 성동구 장터길 30 , 1층(금호동4가)",02-2282-4344
190,길동복조리시장점,서울 강동구 천중로 213 (길동),02-475-7170
191,길동역점,"서울특별시 강동구 양재대로 1465 , 105호 (길동 , 마루홈타운)",02-410-3865
192,길동초점,"서울특별시 강동구 명일로 210, 1층 1호(길동 , 동인빌딩)",02-477-8115
193,길음뉴타운점,"서울특별시 성북구 길음로 33 , 가비동 제지2층11호 (길음동 ,길음뉴타운)",02-909-1123
194,길음두산위브점,"서울 성북구 길음로13길 22 (길음동, 길음7구역 두산위브아파트)",02-943-0688
195,길음역롯데캐슬점,"서울 성북구 길음로 11 (길음동, 길음역롯데캐슬트윈골드아파트)",02-942-1008
196,까치산시장점,"서울특별시 강서구 강서로18나길 1, 1층(화곡동)",02-2691-1110
197,까치산역점,서울특별시 강서구 강서로 33,02-2697-0010
198,낙성대역점,"서울특별시 관악구 남부순환로 1913 , 1층(봉천동)",02-875-0656
199,난곡사거리점,"서울 관악구 난곡로 320 (신림동, 세인빌딩)",02-851-1003
200,난곡우림시장점,서울 관악구 난곡로 176 (신림동),02-854-4911
201,난곡우체국점,"서울특별시 관악구 난곡로 268 , 1층 (신림동)",02-866-0605
202,난곡휴먼시아점,"서울 관악구 난곡로 60 (신림동, 산타플러스빌딩)",02-856-8885
203,남구로역점,서울 구로구 디지털로27길 131 (가리봉동),02-855-1110
204,남구로점,"서울특별시 구로구 디지털로31길 120 , 상가2동 1층 (구로동 , 한신휴플러스아파트)",02-830-1063
205,남대문시장점,"서울 중구 남대문시장길 14 (남창동, 남대문시장)",02-752-1003
206,남부터미널역점,서울 서초구 효령로 310 (서초동),02-588-7794
207,남성역점,"서울 동작구 사당로12길 2 (사당동), 1층",02-525-5677
208,내방역점,"서울특별시 서초구 방배로 141, 1층(방배동 , 텔콤빌딩 내방)",02-522-1005
209,노량진역점,"서울특별시 동작구 노량진로 126 , (노량진동)",02-813-8330
210,노량진점,"서울특별시 동작구 노량진로16길 14 , (노량진동)1층",02-821-2017
211,노원공릉점,"서울 노원구 동일로197길 11 (공릉동, 공삼빌딩)",02-971-0017
212,노원로데오점,"서울특별시 노원구 상계로3길 16 , 1층 (상계동 , 동원빌딩)",02-939-2223
213,노원롯데캐슬점,"서울 노원구 덕릉로 753 (상계동, 노원 롯데캐슬 시그니처)",02-939-1003
214,노원역점,"서울특별시 노원구 상계동 709-2, 메가빌딩 1층",02-930-7373
215,노원월계초점,"서울 노원구 월계로45길 37 (월계동, 성진빌딩)",02-900-1007
216,노원을지병원점,"서울특별시 노원구 공릉로 324-2, 1층(하계동)",02-971-0101
217,노원중앙점,"서울특별시 노원구 노해로 509 , 1층(상계동)","서울특별시 노원구 노해로 509 , 1층(상계동)"
218,노원포레나점,"서울 노원구 노원로38길 76 (상계동, 포레나노원), 상가동 108호",02-933-4590
219,녹번점,"서울특별시 은평구 은평로 217, 1층(녹번동)",02-379-5372
220,논골사거리점,"서울특별시 성동구 행당로5길 2, 1층(금호동1가)",02-2282-4536
221,논현가구거리점,서울 강남구 학동로4길 8 (논현동),02-540-5677
222,논현개나리점,서울 강남구 학동로20길 16 (논현동),02-6952-9476
223,논현동현점,서울 강남구 도산대로50길 8 (논현동),02-540-0627
224,논현아크로힐스점,"서울특별시 강남구 언주로 604, 지하1층 109호(논현동 , ACROHILLS논현)",02-545-0656
225,논현역점,"서울특별시 서초구 사평대로55길 149, 1층(반포동)",02-541-5488
226,논현중앙점,"서울특별시 서초구 강남대로 523, 1층",02-516-0656
227,답십리1동점,"서울 동대문구 답십리로 130 (답십리동, 래미안위브)",02-2249-1007
228,답십리로데오점,"서울특별시 성동구 용답중앙15길 12 , 1층(용답동)",02-2213-9952
229,답십리사거리점,"서울특별시 동대문구 답십리로 154, 1층(답십리동)",02-2212-7858
230,답십리초점,"서울특별시 동대문구 전농로 35, 1층(답십리동)",02-2217-9297
231,당고개역점,"서울 노원구 상계로 305 (상계동, 당고개역)",02-951-1005
232,당곡역점,"서울특별시 관악구 보라매로 2, 104호(봉천동 , 신흥빌딩)",02-875-7577
233,당산삼성래미안점,"서울 영등포구 당산로44길 3 (당산동5가, 삼성타운)",02-2677-8885
234,당산생각공장점,"서울 영등포구 영등포로 150 (당산동1가, 생각공장 당산), C동 1층 107호",02-2632-1113
235,당산역점,"서울특별시 영등포구 양평로 67 , (당산동5가, 당산역 한강포스빌)1층,109호",02-2671-0700
236,당산영등점,"서울특별시 영등포구 버드나루로 119, 101호(당산동 , 영등빌딩)",02-2635-0777
237,당산중앙점,"서울특별시 영등포구 당산로 214, 1층",02-3667-7077
238,대림사거리점,"서울특별시 영등포구 시흥대로 629, 1층 (대림동)",02-831-8323
239,대림성모점,서울 동작구 신대방길 114 (신대방동),02-832-2008
240,대림썬프라자점,"서울 영등포구 신길로 41 (대림동, 썬프라자별관), 1층",02-833-5206
241,대림역점,"서울 영등포구 도림로 144 (대림동, 88월드타워), 1층 103호",02-847-1117
242,대치사거리점,"서울특별시 강남구 삼성로 349, 우진빌딩 지상1층(대치동)",02-555-8677
243,대치역점,"서울특별시 강남구 삼성로 155 , 116호(대치동 , 대치퍼스트빌딩)",02-565-1008
244,대치은마점,서울 강남구 도곡로 510 (대치동),02-6941-0655
245,대치중앙점,"서울 강남구 역삼로 416 (대치동, 태양빌딩), 지상1층",02-556-0656
246,대치포스코점,"서울 강남구 테헤란로78길 16 (대치동, 노벨과개미)",02-552-5551
247,대치학원가점,"서울특별시 강남구 도곡로77길 6 , 102호(대치동)",02-6747-7070
248,대학로마로니에공원점,서울 종로구 대학로 79-1 (연건동),02-743-8226
249,대학로중앙점,"서울특별시 종로구 대학로 144, 1층(혜화동)",02-747-9888
250,대학점,"서울특별시 관악구 호암로26가길 2 , (신림동)1층",02-822-0210
251,대흥역점,"서울특별시 마포구 백범로 102, 1층 (대흥동)",02-701-5541
252,덕성여대점,"서울 도봉구 삼양로 538-5 (쌍문동, 쌍문동 덕성여대역리가 빌딩)",02-998-8885
253,도림점,"서울특별시 영등포구 도영로 33-2 , 1층 (도림동)",02-833-2046
254,도봉산입구점,서울 도봉구 도봉산4길 4-13 (도봉동),02-955-1003
255,도봉역점,"서울특별시 도봉구 도봉로 817 , 1층 (도봉동)",02-955-4418
256,도봉중앙점,"서울특별시 도봉구 도봉로181길 30, 1층(도봉동)",02-955-4536
257,도선사거리점,"서울특별시 성동구 고산자로 293, 1층 105호(홍익동)",02-2292-9992
258,독바위역점,"서울특별시 은평구 불광로 130-1, 1층 (불광동 , 윤송빌딩)",02-385-1050
259,독산대륭20차점,"서울 금천구 가산디지털1로 5 (가산동, 대륭테크노타운 20차)",02-2225-0031
260,독산별빛남문시장점,서울 금천구 독산로85길 35 (독산동),02-6956-7076
261,돈암한신점,"서울특별시 성북구 성북로4길 52, 제상가417동 제1층 제1101호(돈암동 , 한신한진아파트)",02-928-1253
262,돌곶이역점,"서울 성북구 돌곶이로 66 (석관동), 1층",070-7576-3510
263,동교삼거리점,"서울 마포구 동교로 199 (동교동, 우성빌딩), 1층",02-337-0656
264,동교점,"서울특별시 마포구 월드컵북로6길 64 , 1층 일부(동교동)",02-336-0651
265,동국대점,"서울 중구 서애로1길 11 (충무로5가), B127호",02-3396-1005
266,동대문구청점,"서울 동대문구 고산자로 406 (용두동, 화성빌딩)",02-966-6720
267,동대문동평화점,서울특별시 중구 마장로1길 28-25,02-2256-5999
268,동대문역점,"서울 종로구 청계천로 291 (창신동, 대성약국)",02-762-1110
269,동대문점,"서울특별시 중구 장충단로13길 13 , 1층(을지로6가)",02-2269-0620
270,동대문종합시장점,"서울특별시 종로구 종로 266, B동 6층 8호(종로6가 , 동대문종합시장)",02-2268-3983
271,동대문한천로점,서울 동대문구 한천로 60 (장안동),02-2215-0605
272,동묘숭인점,"서울특별시 종로구 지봉로 52, 1층 (숭인동)",02-741-0222
273,동묘앞역점,서울 종로구 지봉로 22 (숭인동),02-2232-1002
274,동부시장점,"서울특별시 중랑구 봉우재로 41, 1층(면목동)",02-436-0333
275,동부이촌점,"서울특별시 용산구 이촌로 248, 31동 108호 (이촌동)",02-790-2121
276,동소문점,"서울특별시 성북구 아리랑로 14 , 1층",02-922-2299
277,동양미래대학점,"서울특별시 구로구 경인로47길 26 , 1층(고척동)",02-2688-4924
278,동작남성점,"서울특별시 동작구 사당로 243 , 1층 (사당동)",02-3481-2929
279,동작대방점,서울 동작구 등용로 86-1 (대방동),02-825-0907
280,둔촌고사거리점,"서울특별시 강동구 천호대로 1200, 1층 104호(둔촌동)",02-485-4591
281,둔촌동역점,"서울특별시 강동구 양재대로 1355, 1층(성내동)",02-486-8881
282,등촌성당점,"서울특별시 강서구 공항대로41길 43 , 103호 (등촌동 , 새한프라자)",02-2659-7659
283,등촌아이파크점,"서울 양천구 등촌로 180 (목동), 1층",02-2061-9489
284,등촌역점,"서울특별시 양천구 목동중앙북로7길 10, 지상1층(목동)",02-2652-5820
285,디에이치자이개포점,"서울특별시 강남구 영동대로 22, 830동 지하1층 S5B1-0510호(일원동 , 디에이치자이개포)",02-451-1777
286,디지털미디어시티역점,서울 마포구 성암로13길 36 (상암동),02-373-1003
287,뚝섬역점,"서울특별시 성동구 상원길 38-1 , 1층 (성수동1가)",02-461-6888
288,래미안대치팰리스점,"서울 강남구 남부순환로 2917 (대치동, 청실종합상가)",02-555-2184
289,마곡GMG타워점,"서울 강서구 마곡중앙6로 16 (마곡동, 마곡지엠지타워)",02-3663-2806
